X (mm),Y (mm),Z (mm)
250.000,0.325,0.000
249.183,0.635,0.000
247.012,1.367,0.000
243.647,2.590,0.000
239.343,4.310,0.000
234.173,6.435,0.000
228.225,8.883,0.000
221.575,11.600,0.000
214.315,14.530,0.000
206.538,17.622,0.000
198.340,20.825,0.000
189.810,24.078,0.000
181.042,27.310,0.000
172.123,30.460,0.000
163.135,33.460,0.000
154.162,36.237,0.000
145.280,38.718,0.000
136.555,40.828,0.000
128.053,42.505,0.000
119.823,43.708,0.000
111.903,44.413,0.000
104.312,44.615,0.000
97.062,44.328,0.000
90.140,43.580,0.000
83.522,42.420,0.000
77.183,40.888,0.000
71.093,39.027,0.000
65.220,36.877,0.000
59.540,34.470,0.000
54.032,31.843,0.000
48.693,29.030,0.000
43.532,26.070,0.000
38.587,23.015,0.000
33.900,19.928,0.000
29.512,16.885,0.000
25.462,13.957,0.000
21.782,11.205,0.000
18.497,8.670,0.000
15.622,6.383,0.000
13.158,4.365,0.000
11.075,2.622,0.000
9.342,1.135,0.000
7.893,-0.142,0.000
6.640,-1.265,0.000
5.515,-2.282,0.000
4.473,-3.215,0.000
3.508,-4.065,0.000
2.640,-4.790,0.000
1.895,-5.335,0.000
1.275,-5.675,0.000
0.780,-5.828,0.000
0.400,-5.835,0.000
0.152,-5.683,0.000
0.025,-5.133,0.000
0.000,0.000,0.000
0.148,5.182,0.000
0.420,8.205,0.000
0.907,10.860,0.000
1.610,13.335,0.000
2.513,15.603,0.000
3.607,17.650,0.000
4.885,19.498,0.000
6.338,21.168,0.000
7.968,22.673,0.000
9.770,24.015,0.000
11.745,25.200,0.000
13.895,26.225,0.000
16.227,27.092,0.000
18.742,27.803,0.000
21.448,28.355,0.000
24.340,28.755,0.000
27.422,28.997,0.000
30.695,29.093,0.000
34.153,29.040,0.000
37.795,28.845,0.000
41.617,28.515,0.000
45.610,28.057,0.000
49.767,27.483,0.000
54.078,26.797,0.000
58.530,26.010,0.000
63.115,25.133,0.000
67.820,24.170,0.000
72.633,23.135,0.000
77.537,22.030,0.000
82.522,20.867,0.000
87.575,19.655,0.000
92.677,18.400,0.000
97.820,17.110,0.000
102.985,15.795,0.000
108.160,14.470,0.000
113.328,13.137,0.000
118.475,11.820,0.000
123.588,10.520,0.000
128.648,9.260,0.000
133.645,8.055,0.000
138.560,6.915,0.000
143.380,5.853,0.000
148.090,4.870,0.000
152.675,3.978,0.000
157.123,3.183,0.000
161.417,2.485,0.000
165.547,1.888,0.000
169.502,1.387,0.000
173.273,0.980,0.000
176.852,0.662,0.000
180.235,0.425,0.000
183.422,0.255,0.000
186.410,0.142,0.000
189.205,0.072,0.000
191.823,0.032,0.000
194.280,0.013,0.000
196.615,0.003,0.000
198.860,-0.003,0.000
201.050,-0.003,0.000
203.233,-0.003,0.000
205.432,0.000,0.000
207.685,0.000,0.000
210.010,0.000,0.000
212.422,0.000,0.000
214.930,0.000,0.000
217.530,0.000,0.000
220.218,0.000,0.000
222.965,0.000,0.000
225.752,0.000,0.000
228.545,0.003,0.000
231.300,0.005,0.000
233.980,0.015,0.000
236.550,0.030,0.000
238.970,0.058,0.000
241.213,0.095,0.000
243.243,0.140,0.000
245.028,0.190,0.000
246.542,0.240,0.000
247.762,0.278,0.000
248.675,0.300,0.000
249.273,0.315,0.000
249.660,0.320,0.000
250.000,0.325,0.000
